system,what_it_is,kind,stack,repo_path,status,deploy_target,auth_model,billing,tier_or_price,audience,publishes_what,depends_on,relation_to_others,notes_IS_vs_unclear
soma-saas,"Observe->validate->automate; ontology/logic intelligence over your processes",saas_app,"Next.js 15 + Drizzle + Postgres + Stripe + jose-JWT; bundles SOMA Python+SWI-Prolog daemon",/home/GOD/soma-saas,partial,fly,session JWT cookie (no API-key layer),stripe,"$17 / $99 / $499 / $2500 + VIP",b2b+b2c,"SOMA process validation + automations (SOUP/CODE verdicts)","SOMA :8091 daemon (in-repo), Stripe, Neon/Postgres",same nextjs/saas-starter fork as ralph/CB/lamai/bangerlab/primalops; observe page now wired to real engine (branch wire-observe-to-soma),"IS: template+partners+Stripe+observe-route wired E2E to :8091. UNCLEAR: rest of product depth; bundled OWL has persistent unmet arch_dep_check"
ralph-saas,"Remote agent workforce: schedule->execute->report; hosted Ralph workers for your local Claude Code",saas_app,"Next.js 15 + Drizzle + Postgres + Stripe; + FastMCP local hub (Python) + disposable worker (Python)",/home/GOD/ralph-saas,built,fly,session JWT (app) + x-api-key->workspace (API),stripe,"$99/mo BYOK marketing; PAGE is template Base $8 / Plus $12",dev,"PRs + run artifacts from remote ralph jobs",,"intended pair: Ralph=labor, SOMA=intelligence (Enterprise gets both) - NOT code-wired",IS: /api/v1 routes + hub + worker real & wired. UNCLEAR/GAP: no cron dispatcher fires schedules->runs; claim_run duplicates; pricing page != $99 marketing
lamai-saas,"LAMAI = Last Aegis - Memories of All Intelligences; social interpretive platform (Empathy Museum / Namthars / AI Rangers / Indra's Net)",saas_app,Next.js + Drizzle + Stripe (saas-starter fork),/home/GOD/lamai-saas,partial,unclear (no fly.toml/Dockerfile),session JWT cookie,stripe,unclear,b2c+social,"human Empathy Museums + AI liberation stories (interpretive social)",,same saas-starter fork; spiritually adjacent to SeedPublishing (interpretive/social) but shares no code,"IS: fork + LAMAI design docs (.claude/rules/indras-net-mechanic.md, docs/ARCHITECTURE.md). UNCLEAR: README is bare template -> mostly scaffold; deploy + tiers unconfirmed"
crystal-ball-hosted,"Coordinate-space / minespace tool over the real CB engine (encoding compiler, scry, spaces)",saas_app,Next.js (canary) + Drizzle + Stripe; lib/crystal-ball engine (TS),/tmp/crystal-ball-alpha (== monorepo base/crystal-ball-alpha),built,unclear (separate repo sancovp/crystal-ball; no fly/Docker in tree),session JWT (app) + Bearer cb_* API key (engine route); viz routes no-auth DEV_TEAM_ID=1,stripe,Explorer $8 / Navigator $24,dev,"CB spaces (serialized engine state) + scry results via SSE",CB engine (lib/crystal-ball/engine.ts),same saas-starter fork; CB is the compiler/visualizer substrate (different layer from soma/ralph),"IS: /api/cb hits real engine + SSE. UNCLEAR: deploy target (hosted separately); viz routes are unauthenticated dev-team"
bangerlab-saas,"Content/'banger' video-empire SaaS shell (auth wrapper for 5 tool backends)",saas_app,Next.js + Drizzle + Stripe + Dockerfile,/home/GOD/gnosys-plugin-v2/application/bangerlab-saas,partial,fly (unclear; Dockerfile present no fly.toml),session JWT cookie,stripe,unclear,b2c (content creators),"firescope/firescript/reelvoice/clickory/reelsurge tool access",slop-saas-compiler (page compile) + tool backends,same saas-starter fork; the real logic lives in slop-saas-compiler,"IS: cloned fork + Dockerfile. UNCLEAR/per understand-bangerlab: 'CLONED - needs make-saas build' (scaffold)"
primalops-saas,"Hosted SaaS for fitness creators - five Gemini-powered AI tools (PrimePulse + 4 more)",saas_app,Next.js + Drizzle + Stripe + Dockerfile,/home/GOD/gnosys-plugin-v2/application/primalops-saas,partial,fly (unclear; Dockerfile present no fly.toml),session JWT cookie,stripe,unclear,b2c (fitness creators),"5 Gemini-powered fitness AI tools",Gemini API,same saas-starter fork; vertical sibling of bangerlab (fitness niche),"IS: fork + customized README (real niche). UNCLEAR: build depth, tiers, deploy unconfirmed"
slop-saas-compiler,"Compiler that emits a complete SaaS funnel/landing-page bundle from a manifest",engine,"Python compiler + templates + nextjs-wrapper + tool backends",/home/GOD/slop-saas-compiler (monorepo application/slop-saas-compiler is a copy),built,none (build-time tool; emits deployable Next sites),none,none,none,"compiled SaaS landing pages / funnels (7 pages from a manifest)",manifest schema,feeds bangerlab-saas / primalops-saas (the page-generation engine behind the niche SaaS),"IS: per understand-bangerlab 'WORKS - compiles 7 pages from manifest' + has compiler/templates/funnel/tools/deploy dirs. UNCLEAR: not full-read this pass"
SeedPublishing,"Gated members-only reader for SEED/Carton compound-intelligence QA conversations + a markdown concept wiki",content_surface,"Express + Vite + React 18 + Wouter + Drizzle + Neon Postgres + express-session (Replit project)",/home/GOD/seed_publishing_public/SeedPublishing,built,replit,session + admin API key (env) + per-user hashed password,zapier (no Stripe in-repo),membership-gated (price unclear; not in repo),b2c+community,"SEED QA conversations (authorized + redacted) + GitHub-markdown concept wiki",GitHub repo (content source) + Neon + Zapier,"DIFFERENT stack from the Next.js trio; standalone (no code link to others); built instance of the 'Story Machine/content pipeline'","IS: members+api_keys tables, triple auth, Zapier add/remove, protected wiki/search. UNCLEAR: qa_conversations/io_pairs tables are DESIGN only (content from GitHub at runtime); payment surface external"
aisaac-site,"Marketing/funnel site - 4-funnel router to all products; HealthWorld dashboard (15 pages) + blog",site,Static HTML/CSS/JS,/home/GOD/aisaac,built,github_pages (sancovp.github.io/aisaac),none,none,none,b2b+b2c,"funnels, framework index, blog, product pages, HealthWorld dashboard",links to soma/ralph/build/opera/etc product pages,the top-of-funnel that routes into every other product,"IS: 19 pages + 27 blog posts + healthworld 15 pages (per CLAUDE.md + git). Some pages PLACEHOLDER (jobworld-premium, advertorial, etc.)"
seed-mcp,"SEED - Unified System Identity for Compound Intelligence MCP (who_am_i)",mcp,Python (MCP server),/home/GOD/gnosys-plugin-v2/application/seed-mcp,partial,none (pip install / MCP),n/a (MCP client),none,none,dev,"unified system identity (who_am_i context)",STARLOG/STARSYSTEM,"NOT a SaaS; unrelated to SeedPublishing despite shared 'seed' name (agent-identity vs published-content)","IS: who_am_i shipped. UNCLEAR/VISION: SEED_STATE_MACHINE_SPEC 'Compound Intelligence OS' (hook tool-sequencing) is design"
seed-ui-mcp,"UI-oriented seed MCP (TypeScript)",mcp,TypeScript (MCP),/home/GOD/seed-ui-mcp,unclear,none (MCP),n/a,none,none,dev,unclear,,seed-prefixed MCP sibling of seed-mcp,"UNCLEAR: dist+src+package.json present, no README surfaced; not full-read"
twi-jobworld,"Zero-employee AI company plugin: CEO + 5 dept agents + dashboard (company simulation)",saas_app,"Python (CAVE fork) + Claude Code plugin (plugin.json) + web dashboard",/home/GOD/twi-jobworld,built,docker / Claude Code marketplace,Claude Code (local) - no web auth,none (community tiers per aisaac),"community tiers (PAIAB/SANCTUM/CAVE) per aisaac; not in-repo",b2c (solopreneurs/builders),"an instantiated AI-run company (projects/agents/events)",CAVE runtime + Claude Code,"the ORIGINAL *World; HealthWorld + PromptWorld are forks of it",IS: plugin.json + Python server + 21 skills. Monetization is external (community/marketplace)
twi-healthworld,"'Your body is a company' - OSMOSYS + 14 body-system dept agents + CLINIC protocol",saas_app,"Python (CAVE fork) + Claude Code plugin + dashboard (+ 15 static funnel pages in aisaac)",/home/GOD/twi-healthworld,built,docker / marketplace (+ github_pages funnel),Claude Code (local),none,none (community/funnel),b2c,"health operations dashboard + assessments",CAVE runtime + Apple Health import,literal git fork of twi-jobworld (shares its history),"IS: HealthworldAgent(CAVEAgent) + 14 depts + skills, built last week. Drift: docker still says jobworld"
promptworld,"3rd CAVE *World fork - engineer-CEO compiles agents/components; PROMPTS department live",saas_app,"Python (CAVE fork) + claude -p --resume backend + ConvoRegistry + FastAPI-ish server + chat UI",/home/GOD/gnosys-plugin-v2/application/promptworld,built,unclear (local server python -m server --port N),Claude Code subscription via claude -p (no web auth),none,none,dev,"compiled prompt artifacts (compiled/prompts/) via prompt-engineer",CAVE runtime + claude -p (subscription),"same CAVE-core+domain pattern as jobworld/healthworld; KEPT SEPARATE per Isaac (no cross-wiring)","IS: v1+v2 built & self-verified (b914f32). OPEN: CEO persona-not-wired; 6 other departments deferred"
sanctum-builder,"SANCTUM life-architecture mini-game builder - wraps life_architecture_app in Sanctuary vocabulary (rituals/goals/boundaries/domains + GEAR / Sanctuary-degree)",engine,"Python + pydantic; deps: sanctuary-system + life_architecture_app (NOT CAVE)",/home/GOD/gnosys-plugin-v2/application/sanctum-builder,partial,none (library; driven via sancrev treeshell),n/a (library),none,"none in-repo (SANCTUM = a sanctuary-revolution community tier per aisaac domain map)",b2c+internal,"SANCTUM life-architecture objects (rituals/goals/boundaries/GEAR) persisted as JSON in heaven_data/sanctums",sanctuary-system (myth: MVS/VEC/SanctuaryJourney) + life_architecture_app + heaven_data/sanctums (storage),"NOT a CAVE *World (no CAVEAgent/HTTP server/dashboard); it's the '*-builder' pydantic-library family (sibling of paia-builder, cave-builder) behind the sancrev treeshell game; writes to heaven_data/sanctums","IS: models.py (SANCTUM/LifeDomain/RitualSpec/GEARScore/...) + JSON storage on heaven_data. STUB: SANCTUMBuilder core docstring self-labels 'STUB - to be implemented'"
heaven_data,"Shared runtime DATA substrate (/tmp/heaven_data): skills(857), agents(187), sanctums, CartON neo4j-queue + chroma stores, CAVE runtime, treeshell state, automations",engine,"filesystem + chroma + neo4j-backed CartON stores (~8.4 GB live runtime; NOT a repo)",/tmp/heaven_data,built,"mount candidate (unclear)",n/a (local runtime),none,none,internal (substrate),"nothing itself - it is the data layer everything else reads/writes",nothing (it IS the base),"the SHARED RUNTIME the Python/CAVE/sancrev side sits on (CAVE *Worlds, sanctum-builder->sanctums, the 857-skill system, CartON, 187 agents); the 6 Next.js SaaS forks do NOT use it (they have their own Postgres)","NOT a publishable product - a shared SUBSTRATE. IS: 8.4GB live runtime. Isaac: 'could mount that somewhere' = mount-candidate, deploy form unclear"
marketplace-publishing,"Claude Code plugin marketplaces - git-repo catalogs (marketplace.json) that REFERENCE plugins; users install via /plugin marketplace add",content_surface,"git repos + .claude-plugin/{marketplace.json,plugin.json} JSON manifests + Claude Code plugin loader",~/.claude/plugins/marketplaces/{twi,sdna} + monorepo .claude-plugin/marketplace.json (doc-mirror-system/plugin + base/sdna + automation/autopoiesis-mcp),built,github (a marketplace IS a github repo; /plugin marketplace add <repo>),n/a (public git),none,none (free/community),dev,"Claude Code plugins (skills+hooks+commands+agents+MCPs bundles) - doc-mirror, autopoiesis, ralph-wiggum",git + Claude Code plugin system + .claude-plugin manifests,"the DISTRIBUTION layer for the doc-mirror/autopoiesis/ralph/*World plugins; ship-a-plugin skill is the build->publish flow","IS: 3+ live marketplaces (twi lists autopoiesis; doc-mirror-marketplace lists doc-mirror; sdna; ralph). Catalog REFERENCES plugins (source: ./), does NOT house code. Publish = build plugin -> add to marketplace.json -> push git -> users add. UNCLEAR: no automated CI publish (manual git)"
blog-system,"Content pipeline: a CartON concept / JourneyCore -> JourneyBlog AIDA-fractal template -> render() -> HTML -> aisaac/blog",content_surface,"Python + pydantic-stack-core/metastack (RenderablePiece); HTML output on the aisaac static site",/tmp/cave_discord_fork (templates.py JourneyBlog + renderers.py + core.py JourneyCore) + /home/GOD/aisaac/blog (target),partial,github_pages (aisaac/blog),none (public),none,none (top-of-funnel content),b2b+b2c,"blog posts (Hero's-Journey/AIDA articles mapped by facet/level/book)",metastack (RenderablePiece) + JourneyCore + CartON (source when wired) + aisaac site,"feeds the aisaac-site funnel (each post has a category CTA -> B2B/community); the 'Story Machine' content arm; SeedPublishing is the sibling gated-content reader","IS: JourneyBlog = AIDA-within-AIDA metastack template; renderers (DiscordJourneyPost.from_core); render() is PURE template - NO LLM client in renderer (confirmed). 41 HTML posts live (8 w/ category CTA). DESIGN/UNCLEAR: auto CartON->template->HTML wiring 'not yet wired' (aisaac CLAUDE.md); AIDA fields filled by agent/human at author-time, no pipeline LLM call"
